0.96 0 1 2
2.88 0 1 2
4.8 0 1 2
6.72 0 1 2
8.64 0 1 2
10.56 0 1 2
12.48 0 1 2
14.4 0 1 2
16.32 0 1 2
18.24 0 1 2
20.16 0 1 2
22.08 0 1 2
24 0 1 2
25.92 0 1 2
27.84 0 1 2
29.76 0 1 2
31.68 0 1 2
33.6 0 1 2
35.52 0 1 2
37.44 0 1 2
39.36 0 1 2
41.28 0 1 2
43.2 0 1 2
45.12 0 1 2
47.04 0 1 2
48.96 0 1 2
50.88 0 1 2
52.8 0 1 2
54.72 0 1 2
56.64 0 1 2
58.56 0 1 2
60.48 0 1 2
62.4 0 1 2
64.32 0 1 2
66.24 0 1 2
68.16 0 1 2
70.08 0 1 2
72 0 1 2
73.92 0 1 2
75.84 0 1 2
77.76 0 1 2
79.68 0 1 2
81.6 0 1 2
83.52 0 1 2
85.44 0 1 2
87.36 0 1 2
89.28 0 1 2
91.2 0 1 2
93.12 0 1 2
95.04 0 1 2
96.96 0 1 2
98.88 0 1 2
100.8 0 1 2
102.72 0 1 2
104.64 0 1 2
106.56 0 1 2
108.48 0 1 2
110.4 0 1 2
112.32 0 1 2
114.24 0 1 2
116.16 0 1 2
118.08 0 1 2
120 0 1 2
121.92 0 1 2
123.84 0 1 2
125.76 0 1 2
127.68 0 1 2
129.6 0 1 2
131.52 0 1 2
133.44 0 1 2
135.36 0 1 2
137.28 0 1 2
139.2 0 1 2
141.12 0 1 2
143.04 0 1 2

0.96 -300 2 1
2.88 -300 2 1
4.8 -300 2 1
6.72 -300 2 1
8.64 -300 2 1
10.56 -300 2 1
12.48 -300 2 1
14.4 -300 2 1
16.32 -300 2 1
18.24 -300 2 1
20.16 -300 2 1
22.08 -300 2 1
24 -300 2 1
25.92 -300 2 1
27.84 -300 2 1
29.76 -300 2 1
31.68 -300 2 1
33.6 -300 2 1
35.52 -300 2 1
37.44 -300 2 1
39.36 -300 2 1
41.28 -300 2 1
43.2 -300 2 1
45.12 -300 2 1
47.04 -300 2 1
48.96 -300 2 1
50.88 -300 2 1
52.8 -300 2 1
54.72 -300 2 1
56.64 -300 2 1
58.56 -300 2 1
60.48 -300 2 1
62.4 -300 2 1
64.32 -300 2 1
66.24 -300 2 1
68.16 -300 2 1
70.08 -300 2 1
72 -300 2 1
73.92 -300 2 1
75.84 -300 2 1
77.76 -300 2 1
79.68 -300 2 1
81.6 -300 2 1
83.52 -300 2 1
85.44 -300 2 1
87.36 -300 2 1
89.28 -300 2 1
91.2 -300 2 1
93.12 -300 2 1
95.04 -300 2 1
96.96 -300 2 1
98.88 -300 2 1
100.8 -300 2 1
102.72 -300 2 1
104.64 -300 2 1
106.56 -300 2 1
108.48 -300 2 1
110.4 -300 2 1
112.32 -300 2 1
114.24 -300 2 1
116.16 -300 2 1
118.08 -300 2 1
120 -300 2 1
121.92 -300 2 1
123.84 -300 2 1
125.76 -300 2 1
127.68 -300 2 1
129.6 -300 2 1
131.52 -300 2 1
133.44 -300 2 1
135.36 -300 2 1
137.28 -300 2 1
139.2 -300 2 1
141.12 -300 2 1
143.04 -300 2 1

150 -293.04 2 1
150 -291.12 2 1
150 -289.2 2 1
150 -287.28 2 1
150 -285.36 2 1
150 -283.44 2 1
150 -281.52 2 1
150 -279.6 2 1
150 -277.68 2 1
150 -275.76 2 1
150 -273.84 2 1
150 -271.92 2 1
150 -270 2 1
150 -268.08 2 1
150 -266.16 2 1
150 -264.24 2 1
150 -262.32 2 1
150 -260.4 2 1
150 -258.48 2 1
150 -256.56 2 1
150 -254.64 2 1
150 -252.72 2 1
150 -250.8 2 1
150 -248.88 2 1
150 -246.96 2 1
150 -245.04 2 1
150 -243.12 2 1
150 -241.2 2 1
150 -239.28 2 1
150 -237.36 2 1
150 -235.44 2 1
150 -233.52 2 1
150 -231.6 2 1
150 -229.68 2 1
150 -227.76 2 1
150 -225.84 2 1
150 -223.92 2 1
150 -222 2 1
150 -220.08 2 1
150 -218.16 2 1
150 -216.24 2 1
150 -214.32 2 1
150 -212.4 2 1
150 -210.48 2 1
150 -208.56 2 1
150 -206.64 2 1
150 -204.72 2 1
150 -202.8 2 1
150 -200.88 2 1
150 -198.96 2 1
150 -197.04 2 1
150 -195.12 2 1
150 -193.2 2 1
150 -191.28 2 1
150 -189.36 2 1
150 -187.44 2 1
150 -185.52 2 1
150 -183.6 2 1
150 -181.68 2 1
150 -179.76 2 1
150 -177.84 2 1
150 -175.92 2 1
150 -174 2 1
150 -172.08 2 1
150 -170.16 2 1
150 -168.24 2 1
150 -166.32 2 1
150 -164.4 2 1
150 -162.48 2 1
150 -160.56 2 1
150 -158.64 2 1
150 -156.72 2 1
150 -154.8 2 1
150 -152.88 2 1
150 -150.96 2 1
150 -149.04 2 1
150 -147.12 2 1
150 -145.2 2 1
150 -143.28 2 1
150 -141.36 2 1
150 -139.44 2 1
150 -137.52 2 1
150 -135.6 2 1
150 -133.68 2 1
150 -131.76 2 1
150 -129.84 2 1
150 -127.92 2 1
150 -126 2 1
150 -124.08 2 1
150 -122.16 2 1
150 -120.24 2 1
150 -118.32 2 1
150 -116.4 2 1
150 -114.48 2 1
150 -112.56 2 1
150 -110.64 2 1
150 -108.72 2 1
150 -106.8 2 1
150 -104.88 2 1
150 -102.96 2 1
150 -101.04 2 1
150 -99.12 2 1
150 -97.2 2 1
150 -95.28 2 1
150 -93.36 2 1
150 -91.44 2 1
150 -89.52 2 1
150 -87.6 2 1
150 -85.68 2 1
150 -83.76 2 1
150 -81.84 2 1
150 -79.92 2 1
150 -78 2 1
150 -76.08 2 1
150 -74.16 2 1
150 -72.24 2 1
150 -70.32 2 1
150 -68.4 2 1
150 -66.48 2 1
150 -64.56 2 1
150 -62.64 2 1
150 -60.72 2 1
150 -58.8 2 1
150 -56.88 2 1
150 -54.96 2 1
150 -53.04 2 1
150 -51.12 2 1
150 -49.2 2 1
150 -47.28 2 1
150 -45.36 2 1
150 -43.44 2 1
150 -41.52 2 1
150 -39.6 2 1
150 -37.68 2 1
150 -35.76 2 1
150 -33.84 2 1
150 -31.92 2 1
150 -30 2 1
150 -28.08 2 1
150 -26.16 2 1
150 -24.24 2 1
150 -22.32 2 1
150 -20.4 2 1
150 -18.48 2 1
150 -16.56 2 1
150 -14.64 2 1
150 -12.72 2 1
150 -10.8 2 1
150 -8.88 2 1
150 -6.96 2 1

144.783 -299.949 2 1
146.296 -299.543 2 1
147.653 -298.76 2 1
148.76 -297.653 2 1
149.543 -296.296 2 1
149.949 -294.783 2 1

149.949 -5.21684 2 1
149.543 -3.7039 2 1
148.76 -2.34743 2 1
147.653 -1.23988 2 1
146.296 -0.456723 2 1
144.783 -0.0513308 2 1

-0.96 0 2 1
-2.88 0 2 1
-4.8 0 2 1
-6.72 0 2 1
-8.64 0 2 1
-10.56 0 2 1
-12.48 0 2 1
-14.4 0 2 1
-16.32 0 2 1
-18.24 0 2 1
-20.16 0 2 1
-22.08 0 2 1
-24 0 2 1
-25.92 0 2 1
-27.84 0 2 1
-29.76 0 2 1
-31.68 0 2 1
-33.6 0 2 1
-35.52 0 2 1
-37.44 0 2 1
-39.36 0 2 1
-41.28 0 2 1
-43.2 0 2 1
-45.12 0 2 1
-47.04 0 2 1
-48.96 0 2 1
-50.88 0 2 1
-52.8 0 2 1
-54.72 0 2 1
-56.64 0 2 1
-58.56 0 2 1
-60.48 0 2 1
-62.4 0 2 1
-64.32 0 2 1
-66.24 0 2 1
-68.16 0 2 1
-70.08 0 2 1
-72 0 2 1
